Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
William Lyons,43.0,6298.75,1,4.51,9.0,2015-03-26 00:41:27,"2758 Williams Heights Apt. 571
Colleenton, AK 36124-5765","Brown, Conner and Torres",0
Bobby Christian,35.0,12107.03,0,5.82,9.0,2011-03-12 07:37:55,"PSC 8568, Box 1611
APO AA 56585-0874","Freeman, Lam and Jenkins",0
Victoria Medina,43.0,11674.12,0,2.88,8.0,2012-10-24 02:46:36,"816 Jeremy Bridge Apt. 543
New Michelleville, VI 50678",Walters-Sanders,0
William Haney,56.0,12502.81,0,5.47,8.0,2007-08-09 17:54:53,"143 Andrea Flat
Lake Michael, ID 33149","Powell, Erickson and Rush",0
Alan Gray,29.0,9617.59,0,5.49,8.0,2013-02-19 03:23:16,"9278 Jenna Ways Apt. 628
West Ryan, AZ 06819-5978",Mendoza Inc,0
Jessica Johnson,36.0,13472.79,1,4.77,8.0,2006-02-14 22:16:21,"PSC 8132, Box 3379
APO AA 45232-2030",Young and Sons,0
Joshua Tran,49.0,9805.7,0,4.86,9.0,2011-04-29 16:53:13,"7774 Gonzalez Camp Suite 326
Lake Nathan, CA 46393-3674",Harris Group,0
Lisa Harmon,31.0,11743.24,0,5.3,6.0,2010-06-06 05:12:39,"2190 Fox Mountains
North Jennifer, WV 75027-6097",Le LLC,0
Stephen Jenkins,30.0,12788.37,0,4.31,10.0,2009-08-22 20:21:57,"USNV Perry
FPO AE 07826-0914",Everett-Taylor,0
Misty Tate,40.0,5218.49,0,3.8,10.0,2006-11-16 04:13:27,"12915 Jeffrey Canyon
Blackshire, AS 18084",Soto PLC,0
Isaiah Noble,44.0,10526.18,0,7.67,9.0,2009-09-21 12:50:42,"08820 Foster Via Suite 564
Barkerview, ME 82495-3527",Taylor-Bradley,0
Jeff Davis,43.0,8583.5,1,4.39,10.0,2014-08-23 03:44:26,"115 Andrews Vista
South Kristinchester, SD 82774-5194","Klein, Dalton and Doyle",0
Stacey Harding,39.0,11008.0,0,4.42,8.0,2007-12-22 13:07:46,"454 Sara Ways
New Brandistad, AL 82361",Robinson-Koch,0
William Perkins,42.0,9625.89,1,5.84,9.0,2014-02-03 00:37:05,"54740 Jeffrey Place Apt. 914
Amandaland, MI 87447",Mills-Howe,0
James Contreras,46.0,11119.11,1,3.51,14.0,2008-12-08 09:23:02,"10454 David Greens
South Jenniferbury, FM 87283-5336",Taylor-Robbins,0
Brian Morse,46.0,9982.55,1,4.75,7.0,2009-05-05 04:56:19,"7865 Gutierrez Expressway Suite 948
Tiffanyside, AR 59662-2367",Robinson Inc,0
Jennifer Hernandez,39.0,11159.46,0,3.95,11.0,2010-08-23 13:43:19,"1526 Jessica Corner Suite 592
Lindsayshire, OH 56989-0550","Howe, Carpenter and Washington",0
Heather Figueroa,36.0,12668.26,0,4.54,12.0,2007-06-27 02:09:55,"945 Blankenship Plain Suite 062
East Christopherville, MI 15647-1190",Martin and Sons,0
Russell Marks,38.0,9087.9,0,2.7,10.0,2015-02-10 10:17:54,"310 Taylor Walks Apt. 649
Lake Shane, MD 23982",Mcknight and Sons,0
Riley Gill,41.0,9091.21,0,4.55,11.0,2007-10-20 08:11:50,"30353 Amber Extension Apt. 202
Austinberg, VA 89084","Robertson, Young and Mcfarland",0
Brian Love,44.0,8755.02,1,5.71,8.0,2010-06-15 02:58:42,"43677 Smith Mission
Meganview, VA 54055",Quinn and Sons,0
Lauren Walker,37.0,6362.93,1,6.8,7.0,2007-08-02 02:34:57,"599 Graham Courts
North Katherine, WI 92642",Young-Newman,0
Melanie Bender,48.0,13189.35,0,3.25,7.0,2006-01-18 03:29:38,"007 Shaw Trafficway
Patrickstad, PA 29094-0827",Richardson-Keller,0
Samuel Castillo,47.0,10584.71,0,6.05,8.0,2006-04-14 04:20:32,"63139 Kristin Locks Suite 522
Lambton, WI 60723-5177",Jimenez-Thompson,0
Ashley Soto,49.0,9853.64,1,6.95,6.0,2012-01-01 21:48:50,"275 Thompson Street
Lake Nathan, AS 67338-1025",Brown Inc,0
Adriana James,36.0,10448.09,0,4.13,8.0,2016-04-09 09:02:14,"USNV Ferguson
FPO AP 58507","Doyle, Butler and Coleman",0
Andrea Salas,42.0,11473.38,1,2.87,10.0,2015-03-19 22:32:48,"308 Graham Corners
Valeriehaven, SC 12062",Blackwell PLC,0
Erik Johnson,39.0,8986.28,0,4.36,8.0,2007-12-12 11:10:13,"6987 Weiss Flats Apt. 770
North Maria, MS 98836-9686",Lewis Group,0
Christopher Whitehead,33.0,13314.19,0,5.45,9.0,2007-01-10 01:47:23,"323 Farmer Cape Apt. 744
Jonathanfort, NJ 29387-2732",Harvey-Mckay,0
Casey Mcdaniel,41.0,9918.77,0,4.02,10.0,2016-03-04 04:04:37,"Unit 5523 Box 7609
DPO AA 77484-6339",Bishop and Sons,0
Jeremiah Lee,45.0,12783.21,1,4.47,10.0,2015-12-02 08:14:08,"03538 Gonzalez Forges
Hamiltonbury, CA 87284",Snyder PLC,0
Jennifer Patterson,46.0,7026.18,0,6.3,8.0,2012-01-31 23:08:54,"01546 Jared Key
Justinview, OR 04118-6027","Carlson, King and Murray",0
Lawrence Morton,48.0,9706.88,0,6.45,8.0,2006-08-24 18:32:46,"0434 Douglas Ridge Suite 884
Raychester, DE 82008",Clark LLC,0
Jeffrey Hunt,42.0,10236.95,1,5.71,8.0,2013-12-11 11:20:57,"479 Samantha Groves Suite 505
Morrowshire, CA 94582-2855",Garcia Group,0
Gina Richardson,33.0,13157.08,1,5.04,10.0,2006-08-14 09:24:11,"44577 John Keys
Robertview, FL 73433-8410",Murphy Inc,0
Richard Farmer,44.0,8588.46,1,7.77,8.0,2012-05-07 09:58:33,"115 Courtney Springs Suite 396
Jenniferland, IL 43853-4718","Schroeder, Hines and Thompson",0
Brian White,48.0,7778.73,1,4.18,8.0,2013-01-09 06:06:37,"PSC 1209, Box 3739
APO AE 03896","Martinez, Ochoa and Jennings",0
Richard Meadows,42.0,10268.0,0,5.33,6.0,2007-09-14 04:40:41,"64425 Brittany Common
Joycechester, NE 85166-7648","Thompson, Rojas and Moore",0
Omar Moore,34.0,9845.35,0,4.82,7.0,2008-12-04 20:34:33,"960 Joseph Landing
South Philip, MH 88524-5021",Ortiz-Nixon,0
Tasha Reed,37.0,11912.13,0,5.67,10.0,2011-02-19 18:04:28,"575 Kara Shores
Anthonyburgh, VT 30056",Price Group,0
Albert Clayton,33.0,12115.91,1,5.5,9.0,2010-08-09 00:14:20,"Unit 6274 Box 5329
DPO AA 54598","Mann, Roberts and Hoffman",0
John Mejia,35.0,10801.37,1,5.64,11.0,2014-12-04 07:09:16,"1159 Charles Mountain
Elainechester, ND 45109",Adams-Crawford,0
Diane Terry,53.0,13173.82,0,5.26,7.0,2007-10-15 03:45:59,"543 Bell Ranch Apt. 002
Kevinfurt, ID 14051-9447","Walton, Barnes and Simon",0
Christina Maldonado,49.0,9940.76,0,5.72,11.0,2006-08-28 11:16:01,"483 Douglas Club Apt. 632
Port Valerie, PW 88649-6413","Moreno, Green and Moreno",0
Kathryn Malone,46.0,12261.79,1,3.72,10.0,2010-02-17 15:02:40,"52750 Roberts Via
Stephenstad, ME 82199-5372",Stewart-Nichols,0
Cynthia Burns,47.0,12987.28,0,5.86,10.0,2007-08-30 07:15:35,"USCGC Gould
FPO AP 18053-9165","Perez, Miller and Mcdowell",0
Christina Reed,51.0,4523.91,0,3.98,8.0,2013-03-06 01:02:20,"53000 Mary Bypass
New Markbury, IL 60012-4197",Atkins Group,0
Brittney Stokes,41.0,6172.23,0,4.28,8.0,2013-11-11 04:06:44,"1045 Kimberly Avenue
South John, AR 19601",Hood-Webb,0
Mary Griffin,49.0,6283.67,0,6.35,11.0,2007-01-07 04:15:59,"91062 Michelle Underpass
Lloydmouth, ND 88737",Mathews-Clark,0
Carla Wolfe,48.0,7232.06,1,4.9,6.0,2009-11-21 12:47:28,"67507 Brittany Prairie Apt. 279
Solisborough, VA 81388-7017",Ross Group,0
Emily Little,35.0,6683.82,1,7.82,7.0,2015-05-06 23:55:35,"1779 Jessica Glen
West Tylerport, VT 62988-2923",Moore PLC,0
Jason Santana,39.0,9408.96,1,3.83,4.0,2011-09-30 06:15:01,"8072 Kathy Harbors Apt. 845
Normanburgh, MA 46572-1532",Gonzalez LLC,0
Willie Proctor,47.0,8291.93,0,4.47,7.0,2012-04-28 20:15:34,"62726 Tracey Passage Apt. 685
South Brittany, RI 28461",Schmidt Group,0
Todd Harris,41.0,10017.82,0,6.0,8.0,2012-09-10 22:22:18,"28501 Shawn Village Apt. 894
New Jasonhaven, WY 35010-3731","Henry, Warren and Lyons",0
Kimberly Nichols,38.0,7320.49,0,1.58,10.0,2008-01-16 23:56:07,"4920 Byrd Ford
Danielbury, VI 04457",King-Rodriguez,0
Derek Russell,43.0,8817.29,0,3.19,8.0,2010-05-28 12:49:08,"2445 Jean Row
Vasquezbury, RI 25867-8317",Hartman-Smith,0
Robert Huff,36.0,8948.86,0,7.37,10.0,2010-12-05 10:46:23,"36802 Wallace Parkways
Jacquelineland, IL 81451","Carlson, Guerra and Daniel",0
Kelly Terry,45.0,3689.95,1,5.01,11.0,2014-10-09 10:05:06,"3798 Johnson Gardens
Hughesside, PR 65467","Ellis, Johnston and Sullivan",0
Francisco Martinez,52.0,8185.22,1,5.76,8.0,2016-10-12 21:52:56,"842 Hebert Wells Suite 823
North Tina, WI 75284-1996","Washington, Watson and Jarvis",0
Jason Garcia,43.0,9347.89,1,4.17,8.0,2009-01-19 11:50:29,"751 Robert Lock Suite 515
Smithmouth, KS 83199-2220",Reid and Sons,0
Daniel Johnson,42.0,12888.85,1,4.79,8.0,2010-03-30 04:37:57,"01614 Parker Garden
New Patricia, SD 99014",Turner and Sons,0
Gregory Blake,41.0,5387.41,1,4.17,8.0,2013-03-26 16:02:49,"25024 Rasmussen Haven
Port Brendantown, UT 25626-9953","Brooks, Sutton and Castro",0
Richard Odonnell,38.0,7605.49,0,6.99,10.0,2014-03-13 19:27:04,"0297 Mendoza Motorway
Lisastad, IN 31184-3807","Lewis, West and Snyder",0
Monica Espinoza,45.0,8480.93,0,4.57,9.0,2009-06-26 10:22:40,"602 Jennifer Brook Suite 753
North Alison, NJ 24477","Pratt, Carter and Lopez",0
David Hansen,29.0,11274.46,1,4.43,8.0,2014-03-31 07:43:29,"742 Ortiz Street Apt. 568
Robertland, AS 94732-7050","Crawford, Scott and Smith",0
Elizabeth Chandler,43.0,13116.73,0,3.57,9.0,2006-04-15 03:59:33,"USNS Garcia
FPO AA 23264-4875",Morris Inc,0
Michael White,32.0,7896.65,0,7.12,8.0,2015-10-17 17:47:44,"48465 Susan Summit Suite 561
Hawkinston, WY 60818",Hawkins-Mckay,0
William Pacheco,36.0,12086.92,1,5.52,6.0,2008-03-11 20:48:20,"PSC 6149, Box 2267
APO AA 69767-2977",Wilkerson-Miller,0
Dr. Brandon Adams,42.0,10500.77,0,5.68,6.0,2013-06-22 06:20:23,"93971 Jacob Flats
Port Shannonton, IN 95823-2039",Friedman-Carroll,0
William Burns,38.0,7673.0,1,7.42,7.0,2006-02-25 19:40:22,"432 Allen Station
North Rebecca, MA 78424-2850","Santos, Hughes and Miller",0
Jack Ortega,42.0,14242.7,0,5.79,10.0,2009-06-09 07:44:13,"49625 Joseph Mountain
West Brandon, AL 19037-8797",Anderson-Evans,0
Jonathan Cooley,40.0,6590.63,1,4.52,7.0,2012-03-12 14:56:55,"3012 Kimberly Lights
West Teresa, CA 83239",Larsen-Johnson,0
Erin Norris,37.0,15070.32,0,6.91,6.0,2016-01-02 16:43:22,"081 Randy Crest Apt. 821
South James, LA 27688-1775",Garcia LLC,0
Michael Grant,37.0,13717.41,1,6.5,7.0,2014-03-31 08:16:48,"2978 Luke Cape
Tracyfort, NJ 87595-8510","Flores, Davis and Duncan",0
Connor Knapp,41.0,9219.95,1,5.21,10.0,2015-09-21 16:18:10,"7805 Kerri Route
Marystad, UT 08020","Smith, Simpson and Wolf",0
Megan Jenkins,65.0,10430.5,0,6.5,6.0,2013-03-10 14:36:47,"3462 Teresa Falls Apt. 035
Charlesview, MS 09689-7606",Bates-Ramos,0
Sarah Hall,45.0,5200.06,1,6.33,8.0,2014-05-05 13:36:19,"3930 Baker Square
North Michaelside, PR 98680",Sanchez-Brown,0
Tony Schneider,43.0,11197.42,1,3.48,9.0,2009-04-30 13:55:51,"329 Pierce Place Apt. 176
North Tammybury, WV 17594",Harper-Noble,0
Karen Peterson,45.0,13650.64,0,4.96,8.0,2010-04-05 02:15:49,"1721 Diana Canyon Suite 811
Dukemouth, NC 04129-3149","Moore, Donaldson and Stevens",0
Tiffany Case,42.0,7351.72,0,5.26,9.0,2015-09-26 01:05:29,"0792 Denise Lodge Apt. 903
Jenniferchester, HI 96154-9657",Clark Inc,0
Mary Sanchez,33.0,10306.21,1,6.36,9.0,2011-12-20 17:01:00,"073 Joseph Knolls Apt. 112
West Mary, NV 59877","Smith, Wright and Price",0
David Moran,37.0,10147.22,0,6.63,8.0,2014-07-02 06:46:25,"278 Barbara Divide Suite 780
North Elizabeth, SC 44587-8722","Harris, Mcdonald and Johnson",0
David Lopez,48.0,10528.71,0,5.0,9.0,2007-09-17 05:36:30,"1630 Robert Points Apt. 793
East Jonathonberg, NH 78592-4122",Good Inc,0
Cynthia Nguyen,41.0,10054.6,1,4.93,6.0,2015-04-28 16:20:32,"PSC 5666, Box 1288
APO AE 26505",Sullivan-Weaver,0
Brittany Smith,45.0,8595.24,0,6.4,10.0,2012-11-08 06:43:24,"151 Sara Springs
Lake Davidside, AK 46384-8806",Patrick-Walker,0
Laura Smith,45.0,6681.61,1,5.6,8.0,2010-06-16 21:05:45,"1723 Galloway Groves Apt. 026
Timothystad, PR 36052-9128","West, Gonzales and Shields",0
Michael Dominguez,29.0,10203.18,1,5.82,8.0,2014-01-03 23:18:09,"3043 Walters Loaf Suite 575
Christophermouth, TN 25692",Guzman-Hunter,0
Paul Wagner,42.0,10427.12,0,6.64,10.0,2011-06-04 23:57:31,"49936 Colleen Stream
Port Elizabeth, MN 80287-5385","Santos, Jackson and Guerrero",0
Calvin Coleman,39.0,10388.38,0,5.1,7.0,2013-07-09 16:29:09,"Unit 9127 Box 5819
DPO AE 24161",Stark-Clarke,0
Lisa Burton,39.0,9353.38,0,4.06,7.0,2014-02-04 02:19:31,"Unit 9800 Box 2878
DPO AA 75157",Smith-Alexander,0
John Gonzales,42.0,11756.06,0,4.88,8.0,2014-07-31 14:15:33,"3880 Denise Curve
South Christopher, NC 79432","Martin, White and Hernandez",0
Linda Hubbard,40.0,12295.95,1,5.69,11.0,2010-01-08 23:22:21,"8983 Benjamin Run
South Kelseytown, AZ 03915",Vincent Group,0
Rachel Hull,40.0,7819.46,1,4.77,9.0,2014-07-03 11:47:51,"02794 Edward Summit Suite 660
Victoriahaven, TN 44165",Taylor LLC,0
Tracy Ray,34.0,10674.92,1,3.09,9.0,2006-08-15 20:48:58,"Unit 3715 Box 1153
DPO AA 36768-7501",Wise Inc,0
Sarah Bailey,37.0,10989.43,0,6.62,10.0,2013-07-14 15:25:42,"56493 Becker Stravenue Suite 006
West Anna, MS 49275",Spencer and Sons,0
Aaron King,46.0,7504.79,0,5.98,8.0,2007-05-13 20:42:11,"38346 Smith Prairie
Arnoldside, MD 33861-4885",Hernandez PLC,0
Bradley Washington,46.0,9306.05,0,5.35,7.0,2016-01-01 18:31:30,"149 Paula Divide
Vazquezfurt, MN 57597-1890",Smith and Sons,0
Holly Caldwell,37.0,11523.63,1,3.56,7.0,2014-10-29 11:21:21,"020 Amy Groves Suite 845
Phillipsport, AL 40594","Spencer, Young and Shaw",0
Cheryl Bruce,44.0,9613.84,1,4.38,8.0,2014-06-18 19:25:33,"PSC 5054, Box 2004
APO AP 20629","Oconnor, Hernandez and Bailey",0
Megan Flynn,48.0,13298.38,0,2.99,8.0,2015-12-06 16:55:18,"86354 Brenda Manor
Port Stevenmouth, NC 39915","Smith, Shelton and Williams",0
Amanda Williams,37.0,8614.75,0,5.03,9.0,2011-07-07 15:43:46,"79676 Johnson Villages Apt. 089
Reyesstad, DC 78510",Jones-Fisher,0
Amy Morris,45.0,9951.97,1,4.4,6.0,2015-04-01 19:58:01,"017 Gutierrez Fork
New Benjamin, VA 99400","Patel, Smith and Campos",0
Teresa Garcia,46.0,11343.33,1,3.69,8.0,2012-09-20 05:52:41,"2374 Jackson Walks
Larryberg, PW 89438-7588",Ibarra and Sons,0
Thomas Mcintosh,38.0,10026.44,1,6.85,9.0,2014-01-12 02:04:27,"510 Alexander Pike
New Scottfort, NV 46217-8559",Garrett Ltd,0
Justin Friedman,38.0,8473.65,1,4.78,7.0,2010-11-29 19:37:15,"9195 Erin Terrace Suite 818
Lake Feliciaberg, NV 64016-8747",Garcia-Johnson,0
Whitney Beasley,42.0,12989.06,0,5.0,10.0,2010-03-15 16:50:19,"PSC 3448, Box 5424
APO AE 92778-0504",Knight Inc,0
Beverly Perry,38.0,12893.47,1,5.69,5.0,2012-11-20 05:53:31,"3145 Cruz Mill
North Deborahstad, AR 02085",Mathis Ltd,0
David Sweeney,34.0,7324.32,0,6.69,10.0,2014-12-16 02:23:49,"755 Ashley Motorway Suite 227
West Rachel, NH 67933-7552","Adams, Dominguez and Vasquez",0
Amber Williams,40.0,8530.23,1,3.66,10.0,2012-03-02 18:33:21,"2896 Diana Spur Suite 985
New Tami, IN 56915","Lee, Daniels and Ryan",0
Lisa Murray,46.0,10675.86,0,3.33,7.0,2014-12-06 22:07:07,"943 Briana Circles
Lake Joseph, UT 22842-6913","Herring, Lee and Taylor",0
Jose Hoffman,43.0,10300.24,0,6.44,8.0,2008-06-15 13:51:40,"244 Johnson Court
Lake Justin, MD 66889-8251",Rice PLC,0
Regina Kirby,41.0,10921.54,0,5.07,3.0,2015-09-04 11:32:49,"310 Amy Underpass Suite 089
Lake Kevin, DC 23138-4553",Schaefer-Berry,0
Shawn Ramirez,42.0,10527.52,1,8.42,8.0,2008-02-03 02:07:40,"7873 Trevino Tunnel
Angelamouth, AZ 84280","Gilbert, Bennett and Lindsey",0
Ruben Thomas,44.0,8338.05,0,6.57,11.0,2008-02-15 18:36:24,"919 Bennett Gateway
Russochester, SC 57606",Cohen-Rodriguez,0
Austin Palmer,36.0,9593.71,0,3.98,6.0,2009-03-21 00:05:24,"85112 Raymond Ridge Suite 934
East Christinachester, CO 33248",Lynch-Davies,0
Anthony Hall,46.0,11537.69,1,6.37,7.0,2011-01-24 07:40:18,"0910 Bell Mount
West Lindseyview, MS 35802",Kelly Group,0
Richard Gardner,35.0,12936.64,1,3.73,6.0,2010-07-31 02:11:17,"617 Diane River
Lake Jillianton, TX 91296-2338",Alexander-Reed,0
Destiny Morales,40.0,8815.24,0,5.63,9.0,2012-11-15 04:23:07,"108 Oscar Rapids
Port Vanessa, KY 23348-6290","Martin, Flores and Graham",0
Brittany Murphy,42.0,12300.94,1,6.89,10.0,2007-06-19 09:53:56,"892 Elizabeth Mission Apt. 511
West Leslieville, WA 98000-6023","Schmidt, Johnston and Kaufman",0
Tony Soto,35.0,11830.36,1,4.41,6.0,2006-10-01 16:57:42,"227 Jennifer Park
Smithbury, TN 22659-9788",Nichols-Wade,0
Sharon Torres,36.0,14715.53,1,5.73,9.0,2014-01-31 00:05:00,"983 Carl Run Apt. 446
West Christina, NM 45895","Blanchard, Hawkins and Torres",0
Brenda Fuentes,44.0,9214.98,1,6.44,7.0,2016-03-04 14:24:53,"443 Shari Plains Apt. 479
Tiffanyside, TN 88122","Boyd, Jennings and Gutierrez",0
Rodney Evans,49.0,8092.13,0,6.32,5.0,2011-10-22 19:12:36,"025 Ricky Ford
East John, AS 71101-1423",Simmons Inc,0
Robin Woods,41.0,12008.34,1,4.94,7.0,2009-12-24 12:36:10,"404 Joshua Estate Apt. 074
Jacobsonside, CT 88758-3164",Bright PLC,0
Jennifer Anderson,38.0,11803.58,1,6.97,6.0,2015-12-15 11:48:35,"521 Charles Lakes
Lake Michaelland, NE 42708","Stewart, Sanchez and Valentine",0
Tabitha Love,37.0,13498.28,1,7.06,9.0,2007-11-23 13:38:04,"8308 Rhodes Crest Apt. 745
Beckyfurt, KS 20974-1928",Stein PLC,0
Diana Carroll,46.0,9601.95,0,5.9,9.0,2011-08-10 04:56:18,"3270 Barnes Station Suite 780
Lake Blake, TN 43554-9146",Rubio-Humphrey,0
Matthew Jacobs,54.0,13184.51,0,6.04,8.0,2013-03-20 17:57:42,"507 Harris Summit
East Kevin, WY 06036-0197","Nichols, Carter and Goodman",0
Rebecca Prince,36.0,4690.57,1,5.41,8.0,2012-01-25 00:45:38,"209 Daniel Springs Suite 388
Port Courtneybury, PW 27640-7474",Sandoval-Mcgrath,0
Eric Smith,37.0,11416.56,0,6.06,6.0,2006-04-03 04:29:08,"166 Julie Vista Apt. 132
Lake Sarahborough, HI 29875",Thomas-Curtis,0
Jeffrey Hernandez,56.0,9940.54,1,6.57,7.0,2014-03-04 07:00:57,"2739 Jackson Mission
Rojashaven, WI 86960",Thompson-Elliott,0
William Newman,35.0,13680.25,1,5.79,9.0,2011-10-07 15:43:59,"3785 Duran Lodge
Port Nicholashaven, MH 08892-1815",Williams-Charles,0
Ashley Smith,29.0,5900.78,1,5.56,8.0,2007-09-19 06:55:51,"663 White Tunnel Suite 995
Port Joseph, PR 93959-2444","Jones, Reyes and Cross",0
Sandra Mcintyre,36.0,10339.05,1,6.88,7.0,2010-08-02 09:34:35,"10676 Ferguson Ranch Suite 380
Lake Parker, OH 23498",Cowan Inc,0
Robert Joseph,46.0,11538.57,1,7.93,10.0,2015-04-03 16:15:00,"95222 Lisa Turnpike
South Laurenburgh, NC 33273-8443",Cortez Inc,0
George Chavez,43.0,7178.92,1,5.32,8.0,2007-12-15 00:13:30,"63837 Jessica Valleys Apt. 645
East Jasmine, WV 26260-6871","Rodriguez, Moore and Cunningham",0
Joshua Walters,51.0,8840.51,0,2.7,7.0,2012-08-28 14:56:34,"USS Mcdonald
FPO AA 93590",Bennett Ltd,0
John Howard,47.0,14154.26,0,4.73,9.0,2012-08-19 15:56:39,"PSC 9026, Box 5801
APO AE 43474",Cantu Inc,0
Deborah Howell,42.0,10583.76,0,6.51,9.0,2006-08-18 05:47:20,"9609 Harper Dale
New Danieltown, AR 80238-4616",Ortiz Ltd,0
Terry Diaz,46.0,11401.63,0,6.13,5.0,2014-06-30 15:46:07,"USNV Rose
FPO AP 67907-1654","Charles, Cruz and Marshall",0
Roberto Gonzales,41.0,7495.6,1,6.57,8.0,2009-11-29 08:47:17,"13697 Hale Burgs Apt. 574
Jamesfort, UT 03958-6187",Davis and Sons,0
Jesse Mitchell,36.0,8878.96,1,4.66,9.0,2016-06-24 08:32:37,"4563 Rebecca Rest
Lisaville, GA 03268","Dunn, Hopkins and Adams",0
Linda Allen,37.0,11111.59,1,6.0,7.0,2013-11-01 00:22:56,"9111 Harris Throughway
Roblesfurt, MA 91589",Butler-Alexander,0
Heather Hernandez,42.0,8519.64,0,3.99,8.0,2006-03-01 07:20:00,"6815 Andrea Isle
Lindseyborough, OR 26077-2763","Carr, Esparza and Flores",0
Ryan Chapman,44.0,12361.42,1,3.7,10.0,2014-11-13 21:11:21,"PSC 3188, Box 1421
APO AA 49368-5290",Williams Ltd,0
Anthony Mooney,41.0,9014.9,1,4.45,7.0,2010-11-19 04:30:56,"9131 Russell Court Suite 160
South Michellefurt, PW 79597",Knight-Price,0
Timothy Henry,42.0,6081.5,0,3.73,8.0,2011-04-22 16:14:18,"73765 Crystal Terrace Apt. 641
Ramirezfort, GU 82626-0948","Norris, Chavez and Martinez",0
Vanessa Hayes,43.0,10944.65,1,2.62,9.0,2010-06-24 21:15:32,"820 Kristin Lock Suite 348
Emilyhaven, WI 45502-8866",Casey-Stevens,0
Timothy Jacobs,40.0,11764.35,1,5.54,9.0,2006-09-16 05:57:02,"835 Potter Field Apt. 413
Port Kristina, IL 58467",Lawson-Jones,0
Austin Melendez,44.0,12155.91,1,4.11,5.0,2009-07-30 18:11:19,"697 Mcdowell Pike
Lake Phillip, LA 32009-7853","Carlson, Ramos and Johnson",0
Brittany Green,41.0,11971.75,1,5.38,7.0,2011-02-13 18:26:31,"1241 Wiley Motorway
Prattchester, TN 32961-5246","Smith, Stein and Mueller",0
Michael Perry,41.0,14080.95,1,4.61,7.0,2015-06-09 20:51:48,"Unit 2093 Box 1530
DPO AA 53596-7800",Stone PLC,0
Theresa Martinez,41.0,6204.86,1,6.08,8.0,2016-05-12 17:50:46,"21267 Nixon Coves
Moorestad, NH 93322-8817",Howell-Valdez,0
Jessica Gutierrez,39.0,4994.48,0,5.02,8.0,2016-07-29 12:56:50,"0347 Glenn Springs
Kellyview, GU 58381-4038",Moreno-Sharp,0
James Franklin,36.0,11047.43,0,5.98,8.0,2006-04-11 05:00:15,"399 Herbert Key
Port Thomas, PR 14265","Wright, Myers and Garcia",0
Julie Francis,40.0,12925.64,0,4.04,7.0,2013-03-16 06:25:16,"6656 Edward Manors Apt. 704
Flynnshire, GA 70372","Frank, Knox and Robinson",0
Marissa Nguyen,36.0,8233.25,1,4.35,7.0,2013-08-24 22:54:43,"8541 King Spur Suite 184
Aliciafurt, AZ 39457",Mueller LLC,0
Marie Bauer,39.0,9282.33,0,4.52,11.0,2009-04-08 21:56:15,"8923 Nunez Cove Apt. 302
New Allisonmouth, MP 01493",Bell-Kelly,0
Thomas Brown,46.0,13383.25,1,5.27,9.0,2010-04-06 23:18:17,"5098 Daniel Village Apt. 434
North Josephmouth, NJ 26103-2939",Brown-Estrada,0
Julie Moore,40.0,8911.91,0,6.99,10.0,2014-11-20 15:27:54,"67368 Karen Ford Suite 722
Gonzalezfort, MH 57379-8391",Huynh Inc,0
Nicole Jacobson,41.0,8783.13,1,6.2,7.0,2009-10-08 16:00:31,"029 Bill Alley Apt. 087
West Kenneth, UT 32896","Hoffman, Leach and Smith",0
John Davis,35.0,12654.35,0,1.66,7.0,2011-11-01 14:43:46,"88854 Sarah Lake Suite 435
Lake Steven, MD 39080",Gordon-Pruitt,0
Crystal Mccullough,40.0,6773.23,1,4.29,11.0,2006-10-17 12:23:47,"323 Adams Circles
Andersonmouth, VI 05122-6749",Hall-Branch,0
Michael Patterson,31.0,9574.89,0,7.34,8.0,2009-01-27 11:02:57,"8392 Heather Camp
Mackenziefurt, NE 44919-3028","Anderson, Brown and Montes",0
Brianna White,45.0,9722.92,1,3.35,8.0,2006-01-07 19:04:44,"087 Kimberly Ridges
Thomasbury, MA 73601",Alexander LLC,0
Austin Hays,41.0,9516.87,0,4.94,7.0,2008-06-15 03:31:07,"55004 Schmidt Fort Apt. 448
North Samanthaland, AR 63822",Austin Ltd,0
Tammy Kelley,38.0,6638.87,1,5.61,8.0,2014-07-20 09:42:45,"41822 Wright Loop Apt. 718
West Kendrabury, CO 10948-4798",Smith and Sons,0
Monique Delgado,30.0,10960.52,1,5.96,9.0,2007-03-04 02:41:15,"781 Cassie Flat
Austinville, AS 10515-8328",Silva-Guerra,0
Timothy Mcdonald,52.0,11093.87,0,4.38,5.0,2016-09-30 14:28:53,"6685 Marie Unions Suite 385
West Kevinfort, MS 77092-9463",Smith-Hawkins,0
Donald Barrett,51.0,10323.07,1,7.03,9.0,2014-01-14 10:48:37,"107 Melissa Manors Suite 419
East Teresashire, ME 40421-3419",Zhang-Brown,0
Darin Alexander,43.0,15858.91,1,4.51,8.0,2008-08-11 02:19:38,"82216 Garrison Coves Apt. 482
Heathertown, MS 60762",Anderson Group,0
Joseph Taylor,40.0,11309.18,0,4.91,7.0,2008-08-07 15:34:43,"170 Kenneth Flats
South James, AL 78065",Robertson-Nelson,0
